idescuela,idplantel,ccts,escuela,idcodigo,cv_cct,
6209,07INM_18856,07ETV1277H,"TELESECUNDARIA  1254  ROSARIO  CASTELLANOS
FIGUEROA",1897,,
6210,07INM_18859,07DPB0269T,JOSE MARIA MORELOS Y PAVON,1881,07DPB0269T,
6211,07INM_18952,07KPB1840Z,PRIMARIA CONAFE INDIGENA,144110,07KPB1840Z,
6212,07INM_18974,07KCC0576E/07KPB0304S,PREESCOLAR CONAFE INDIGENA,144110,07KCC0297U,
6213,07INM_18860,07DCC1761Y,BENITO JUAREZ GARCIA,144110,07DCC1761Y,
6214,07INM_18863,07DCC1403K,JUAN DE GRIJALVA,1898,07DCC1403K,
6215,07INM_18866,07ETV0992M,"TELESECUNDARIA       980       FLAVIO       GUILLEN
ANCHEYTA",144110,,
6216,07INM_18872,07DPB1052B,NICOLAS ROMERO,1903,07DPB1052B,
6217,07INM_18873,07DCC0432Z,CUAUHTEMOC,1903,07DCC0432Z,
6218,07INM_18874,07DPB0325V,AGUSTIN DE ITURBIDE,1903,07DPB0325V,
6219,07INM_18875,07ETV1281U,TELESECUNDARIA 1258 PABLO NERUDA,1903,07ETV1281U,
6220,07INM_18968,07KCC1229D/07KPB1356E,PREESCOLAR CONAFE INDIGENA,144110,07KCC0496T,
6221,07INM_18851,07DCC0433Y,JUAN ESCUTIA,1892,07DCC0433Y,
6222,07INM_18852,07DPB1348M,PROGRESO,1892,07DPB1348M,
6223,07INM_18853,07ETV1223D,TELESECUNDARIA 1200 VICENTE GUERRERO,1892,07ETV1223D,
6224,07INM_18999,07DCC1886F,JOSEFA ORTIZ DE DOMINGUEZ,144110,07DCC1886F,
6225,07INM_19079,07KSC0097X/07KPB1771T/07KCC1590E,SECUNDARIA CONAFE INDÍGENA,144110,07KSC0097X,
6226,07INM_18849,07DCC0578T,JUSTO SIERRA MENDEZ,1899,07DCC0578T,
6227,07INM_18934,07ETV1307L,"TELESECUNDARIA     1282     EMILIANO     ZAPATA
SALAZAR",144110,,
